DATA;IPCA L12M;IGPM L12M;SELIC L12M;USD;MINERIO FERRO;BOBINA ACO;COBRE;NIQUEL;ALUMINIO;ZINCO;PETROLEO BRENT;GAS NATURAL;ENERGIA ELETRICA;CHAPA (KG)
jan/19;0.0378;0.0659;0.064;3.6439;76.03;694;2.789;12480;2332;2719;61.89;2.814;55793.1;4.3496
fev/19;0.0389;0.074;0.064;3.7511;87.33;714;2.948;13050;2225;2778;66.03;2.812;55826.5;4.3497
mar/19;0.0458;0.0802;0.064;3.9238;85.7;697;2.9395;12984;2225;2923;68.39;2.662;57449.3;4.2582
abr/19;0.0494;0.0837;0.064;3.9207;93.24;654;2.904;12201;2225;2825;72.8;2.575;58734.7;4.5097
mai/19;0.0466;0.0744;0.064;3.9218;98.76;584;2.6405;12017;2225;2524;64.49;2.454;61954.7;5.5399
jun/19;0.0337;0.0637;0.064;3.8518;109.18;536;2.7135;12690;1820;2495;66.55;2.308;63831;4.0595
jul/19;0.0322;0.0626;0.064;3.8125;120.02;606;2.6715;14490;1860;2444;65.17;2.233;66282.5;3.9909
ago/19;0.0343;0.0489;0.059;4.1445;90.91;560;2.547;17900;1758;2205;60.43;2.285;67856.7;3.9542
set/19;0.0289;0.0336;0.059;4.1551;92.91;523;2.5785;17050;1732;2378;60.78;2.33;68122;3.9002
out/19;0.0254;0.0315;0.054;4.0174;89.55;498;2.6425;16645;1763;2482;60.23;2.633;67949.2;4.1739
nov/19;0.0327;0.0394;0.049;4.2364;84.68;550;2.656;13670;1785;2273;62.43;2.281;69397.6;4.3763
dez/19;0.0431;0.0711;0.044;4.019;91.53;588;2.797;14025;1824;2272;66;2.189;76627.2;4.0823
jan/20;0.0419;0.0758;0.0415;4.282;92.44;578;2.52;12850;1741;2200;58.16;1.841;78308.8;3.8937
fev/20;0.04;0.0666;0.0415;4.4733;86.46;590;2.54;12255;1684;2021;50.52;1.684;75555.6;4.0595
mar/20;0.033;0.0664;0.0365;5.2046;88.02;527;2.232;11484;1512;1905;22.74;1.64;57650.8;4.75
abr/20;0.024;0.0652;0.0365;5.4858;83.84;468;2.344;12192;1491;1939;25.27;1.949;61335.1;3.9894
mai/20;0.0188;0.0635;0.029;5.3361;92.05;513;2.4345;12324;1532;1988;35.33;1.849;66370.3;4.1483
jun/20;0.0213;0.0711;0.0215;5.4661;102.95;488;2.7285;12805;1617;2047;41.15;1.751;70159.5;4.9199
jul/20;0.0231;0.0894;0.0215;5.224;108.9;482;2.877;13786;1693;2318;43.3;1.799;76523.7;4.1483
ago/20;0.0244;0.1235;0.019;5.4914;122.53;518;3.0555;15367;1777;2515;45.28;2.63;71966.6;4.9211
set/20;0.0314;0.167;0.019;5.6112;123.98;615;3.0325;14517;1778;2403;40.95;2.527;68569.3;5.35
out/20;0.0392;0.1925;0.019;5.7446;120.19;699;3.0515;15156;1830;2523;37.46;3.354;69951.4;7.54
nov/20;0.0431;0.2223;0.019;5.3319;124.62;800;3.4335;16033;2029;2790;47.59;2.882;77283.1;6.5943
dez/20;0.0452;0.211;0.019;5.1937;155.84;1005;3.519;16613;1990;2751;51.8;2.539;82845.9;5.101
jan/21;0.0456;0.232;0.019;5.4625;168.13;1149;3.558;17691;1982;2579;55.88;2.564;78922.8;4.8801
fev/21;0.052;0.2577;0.019;5.5986;165.61;1264;4.0925;18577;2182;2792;66.13;2.771;74396.2;6.0678
