DATA;IPCA L12M;IGPM L12M;SELIC L12M;USD;MINERIO FERRO;BOBINA ACO;COBRE;NIQUEL;ALUMINIO;ZINCO;PETROLEO BRENT;GAS NATURAL;ENERGIA ELETRICA;CHAPA (KG);TUBO (KG)
jan-19;0.0378;0.0659;0.0640;3.6439;76.0300;694.0000;2.7890;12480.0000;2332.0000;2719.0000;61.8900;2.8140;55793.1000;4.3496;5.1000
fev-19;0.0389;0.0740;0.0640;3.7511;87.3300;714.0000;2.9480;13050.0000;2225.0000;2778.0000;66.0300;2.8120;55826.5000;4.3497;5.1927
mar-19;0.0458;0.0802;0.0640;3.9238;85.7000;697.0000;2.9395;12984.0000;2225.0000;2923.0000;68.3900;2.6620;57449.3000;4.2582;5.2090
abr-19;0.0494;0.0837;0.0640;3.9207;93.2400;654.0000;2.9040;12201.0000;2225.0000;2825.0000;72.8000;2.5750;58734.7000;4.5097;5.1508
mai-19;0.0466;0.0744;0.0640;3.9218;98.7600;584.0000;2.6405;12017.0000;2225.0000;2524.0000;64.4900;2.4540;61954.7000;5.5399;5.6397
jun-19;0.0337;0.0637;0.0640;3.8518;109.1800;536.0000;2.7135;12690.0000;1820.0000;2495.0000;66.5500;2.3080;63831.0000;4.0595;5.0355
jul-19;0.0322;0.0626;0.0640;3.8125;120.0200;606.0000;2.6715;14490.0000;1860.0000;2444.0000;65.1700;2.2330;66282.5000;3.9909;5.1195
ago-19;0.0343;0.0489;0.0590;4.1445;90.9100;560.0000;2.5470;17900.0000;1758.0000;2205.0000;60.4300;2.2850;67856.7000;3.9542;5.2800
set-19;0.0289;0.0336;0.0590;4.1551;92.9100;523.0000;2.5785;17050.0000;1732.0000;2378.0000;60.7800;2.3300;68122.0000;3.9002;5.1130
out-19;0.0254;0.0315;0.0540;4.0174;89.5500;498.0000;2.6425;16645.0000;1763.0000;2482.0000;60.2300;2.6330;67949.2000;4.1739;4.5400
nov-19;0.0327;0.0394;0.0490;4.2364;84.6800;550.0000;2.6560;13670.0000;1785.0000;2273.0000;62.4300;2.2810;69397.6000;4.3763;4.5400
dez-19;0.0431;0.0711;0.0440;4.0190;91.5300;588.0000;2.7970;14025.0000;1824.0000;2272.0000;66.0000;2.1890;76627.2000;4.0823;5.0674
jan-20;0.0419;0.0758;0.0415;4.2820;92.4400;578.0000;2.5200;12850.0000;1741.0000;2200.0000;58.1600;1.8410;78308.8000;3.8937;4.5400
fev-20;0.0400;0.0666;0.0415;4.4733;86.4600;590.0000;2.5400;12255.0000;1684.0000;2021.0000;50.5200;1.6840;75555.6000;4.0595;4.6577
mar-20;0.0330;0.0664;0.0365;5.2046;88.0200;527.0000;2.2320;11484.0000;1512.0000;1905.0000;22.7400;1.6400;57650.8000;4.7500;4.6897
abr-20;0.0240;0.0652;0.0365;5.4858;83.8400;468.0000;2.3440;12192.0000;1491.0000;1939.0000;25.2700;1.9490;61335.1000;3.9894;4.7000
mai-20;0.0188;0.0635;0.0290;5.3361;92.0500;513.0000;2.4345;12324.0000;1532.0000;1988.0000;35.3300;1.8490;66370.3000;4.1483;4.9802
jun-20;0.0213;0.0711;0.0215;5.4661;102.9500;488.0000;2.7285;12805.0000;1617.0000;2047.0000;41.1500;1.7510;70159.5000;4.9199;4.8203
jul-20;0.0231;0.0894;0.0215;5.2240;108.9000;482.0000;2.8770;13786.0000;1693.0000;2318.0000;43.3000;1.7990;76523.7000;4.1483;4.8601
ago-20;0.0244;0.1235;0.0190;5.4914;122.5300;518.0000;3.0555;15367.0000;1777.0000;2515.0000;45.2800;2.6300;71966.6000;4.9211;4.7900
set-20;0.0314;0.1670;0.0190;5.6112;123.9800;615.0000;3.0325;14517.0000;1778.0000;2403.0000;40.9500;2.5270;68569.3000;5.3500;5.2214
out-20;0.0392;0.1925;0.0190;5.7446;120.1900;699.0000;3.0515;15156.0000;1830.0000;2523.0000;37.4600;3.3540;69951.4000;7.5400;5.3793
nov-20;0.0431;0.2223;0.0190;5.3319;124.6200;800.0000;3.4335;16033.0000;2029.0000;2790.0000;47.5900;2.8820;77283.1000;6.5943;7.9011
dez-20;0.0452;0.2110;0.0190;5.1937;155.8400;1005.0000;3.5190;16613.0000;1990.0000;2751.0000;51.8000;2.5390;82845.9000;5.1010;6.4742
jan-21;0.0456;0.2320;0.0190;5.4625;168.1300;1149.0000;3.5580;17691.0000;1982.0000;2579.0000;55.8800;2.5640;78922.8000;4.8801;6.3000
fev-21;0.0520;0.2577;0.0190;5.5986;165.6100;1264.0000;4.0925;18577.0000;2182.0000;2792.0000;66.1300;2.7710;74396.2000;6.0678;8.3183
mar-21;0.0610;0.2747;0.0190;5.6315;166.9000;1348.0000;4.0000;16068.0000;2215.0000;2818.0000;63.5400;2.6080;80913.1000;5.7398;8.9988
abr-21;0.0676;0.2818;0.0265;5.4366;179.6300;1505.0000;4.4680;17674.0000;2413.0000;2926.0000;67.2500;2.9310;80122.1000;9.2044;8.3418
mai-21;0.0806;0.3200;0.0340;5.2172;205.7300;1665.0000;4.6810;18113.0000;2519.0000;3060.0000;69.3200;2.9860;83619.0000;9.5412;11.8354
jun-21;0.0835;0.3104;0.0415;4.9686;214.5500;1810.0000;4.2890;18214.0000;2548.0000;2974.0000;75.1300;3.6500;80452.2000;7.9795;11.3878
jul-21;0.0899;0.2959;0.0415;5.2123;211.9900;1888.0000;4.4655;19552.0000;2624.0000;3027.0000;76.3300;3.9140;78147.8000;8.3459;13.3176
ago-21;0.0968;0.2751;0.0515;5.1492;159.2500;1945.0000;4.3700;19547.0000;2746.0000;3003.0000;72.9900;4.3770;79946.2000;8.6577;12.9080
set-21;0.1025;0.2253;0.0515;5.4428;119.6500;1900.0000;4.0890;17936.0000;2903.0000;2988.0000;78.5200;5.8670;78296.0000;10.2006;12.5125
out-21;0.1067;0.1994;0.0615;5.6372;121.2300;1803.0000;4.3590;19448.0000;2758.0000;3378.0000;84.3800;5.4260;74371.4000;10.7873;11.2916
nov-21;0.1074;0.1668;0.0765;5.6239;94.9700;1610.0000;4.2805;19897.0000;2591.0000;3200.0000;70.5700;4.5670;75885.3000;10.5249;10.7842
dez-21;0.1006;0.1659;0.0915;5.5703;112.5000;1435.0000;4.4635;20757.0000;2752.0000;3534.0000;77.7800;3.7300;76305.0000;10.5945;10.6801
jan-22;0.1038;0.1583;0.0915;5.3041;131.1500;1165.0000;4.3265;22328.0000;3078.0000;3586.0000;91.2100;4.8740;78324.3000;10.3405;10.2684
fev-22;0.1054;0.1513;0.1065;5.1599;141.9900;1056.0000;4.4545;24282.0000;3417.0000;3666.0000;100.9900;4.4020;78061.4000;10.3404;10.6000
mar-22;0.1130;0.1393;0.1165;4.7390;150.8400;1541.0000;4.7520;32107.0000;3500.0000;4173.0000;107.9100;5.6420;85040.3000;10.3404;9.8000
abr-22;0.1213;0.1383;0.1165;4.9721;150.7700;1400.0000;4.4085;31771.0000;3049.0000;4107.0000;109.3400;7.2440;83185.4000;11.1950;10.3325
mai-22;0.1173;0.1025;0.1265;4.7315;133.5100;1190.0000;4.2990;28392.0000;2763.0000;3913.0000;122.8400;8.1450;82865.4000;13.5898;10.3606
jun-22;0.1189;0.1024;0.1315;5.2562;130.0000;930.0000;3.7100;22698.0000;2401.0000;3157.0000;114.8100;5.4240;78786.9000;12.3000;10.3691
jul-22;0.1007;0.0967;0.1315;5.1734;107.2200;855.0000;3.5750;23619.0000;2463.0000;3308.0000;110.0100;8.2290;81253.4000;9.8123;10.3726
ago-22;0.0873;0.0831;0.1365;5.1831;104.7600;780.0000;3.5190;21411.0000;2341.0000;3459.0000;96.4900;9.1270;82251.1000;9.3125;10.3757
set-22;0.0717;0.0800;0.1365;5.4154;98.3100;776.0000;3.4125;21107.0000;2157.0000;2968.0000;87.9600;6.7660;78488.1000;9.2956;9.7041
out-22;0.0647;0.0639;0.1365;5.1791;92.4300;713.0000;3.3750;21809.0000;2229.0000;2697.0000;94.8300;6.3550;83670.1000;8.7978;9.4857
nov-22;0.0590;0.0581;0.1365;5.1851;93.2500;655.0000;3.7380;26987.0000;2460.0000;3037.0000;85.4300;6.9300;80766.5000;8.8237;8.5728
dez-22;0.0578;0.0539;0.1365;5.2860;111.2800;744.0000;3.8105;30048.0000;2410.0000;2972.0000;85.9100;4.4750;78679.4000;12.4338;8.5000
jan-23;0.0577;0.0378;0.1365;5.0731;123.3700;788.0000;4.2260;30344.0000;2639.0000;3389.0000;84.4900;2.6840;78411.7000;9.9905;8.0500
fev-23;0.0560;0.0189;0.1365;5.2367;125.7500;1054.0000;4.0740;24794.0000;2323.0000;3000.0000;83.8900;2.7470;73453.9000;7.7010;8.3793
mar-23;0.0465;0.0020;0.1365;5.0631;127.0600;1164.0000;4.0945;23838.0000;2383.0000;2922.0000;79.7700;2.2160;74827.1000;7.8708;8.4439
abr-23;0.0418;-0.0216;0.1365;4.9865;116.1400;1069.0000;3.8812;24219.0000;2359.0000;2647.0000;79.5400;2.4100;79882.5000;7.9527;8.1399
mai-23;0.0394;-0.0452;0.1365;5.0574;105.0700;934.0000;3.6370;20588.0000;2255.0000;2248.0000;72.6600;2.2660;83118.8000;8.0795;8.0600
jun-23;0.0426;-0.0704;0.1365;4.7860;112.5700;881.0000;3.7595;20516.0000;2114.0000;2388.0000;74.9000;2.7980;91089.7000;8.3055;8.0600
