ANO;EXPORTAÇÃO;IMPORTAÇÃO;CORRENTE COMEX;PIB
2022;334,1360382;272,6106869;606,7467252;1920,1
2021;280,8145775;219,4080492;500,2226266;1649,62
2020;209,1802417;158,7868249;367,9670665;1476,11
2019;221,1268076;185,9279676;407,0547752;1873,29
2018;231,8895234;185,3219835;417,2115069;1916,93
2017;214,9881084;158,951444;373,9395524;2063,51
2016;179,5261292;139,3213577;318,8474869;1795,69
2015;186,7823551;173,1042591;359,8866141;1802,21
2014;220,9232368;230,8230188;451,7462556;2456,04
2013;232,5442556;241,5008865;474,0451421;2472,82
2012;239,9525382;225,1664261;465,1189642;2465,23
2011;253,6663095;227,9697567;481,6360662;2616,16
2010;200,4341348;183,3369648;383,7710997;2208,84
2009;151,7916742;129,3976115;281,1892857;1667
2008;195,7646242;174,7070876;370,4717118;1695,86
2007;159,8163838;122,0419491;281,858333;1397,11
2006;137,5811512;92,53109687;230,1122481;1107,63
2005;118,5978354;74,69221555;193,290051;891,63
2004;95,12167237;63,81363667;158,935309;669,29
2003;72,77674669;49,30716315;122,0839098;558,23
2002;60,1471581;48,27476355;108,4219217;509,8
2001;58,03229424;56,56902018;114,6013144;559,98
2000;54,99315965;56,97635017;111,9695098;655,45
1999;47,94590931;50,25954036;98,20544967;599,64
1998;51,07660355;58,67286091;109,7494645;863,71
