ANO;EXPORTAÇÃO;IMPORTAÇÃO;CORRENTE COMEX;PIB
2022;334136038220;272610686946;606746725166;1920100000000
2021;280814577460;219408049180;500222626640;1649620000000
2020;209180241655;158786824879;367967066534;1476110000000
2019;221126807647;185927967580;407054775227;1873290000000
2018;231889523399;185321983502;417211506901;1916930000000
2017;214988108353;158951444003;373939552356;2063510000000
2016;179526129214;139321357653;318847486867;1795690000000
2015;186782355063;173104259077;359886614140;1802210000000
2014;220923236838;230823018796;451746255634;2456040000000
2013;232544255606;241500886459;474045142065;2472820000000
2012;239952538158;225166426069;465118964227;2465230000000
2011;253666309507;227969756701;481636066208;2616160000000
2010;200434134826;183336964846;383771099672;2208840000000
2009;151791674186;129397611523;281189285709;1667000000000
2008;195764624177;174707087626;370471711803;1695860000000
2007;159816383833;122041949120;281858332953;1397110000000
2006;137581151209;92531096870;230112248079;1107630000000
2005;118597835407;74692215554;193290050961;891630000000
2004;95121672369;63813636668;158935309037;669290000000
2003;72776746690;49307163152;122083909842;558230000000
2002;60147158103;48274763553;108421921656;509800000000
2001;58032294243;56569020182;114601314425;559980000000
2000;54993159648;56976350170;111969509818;655450000000
1999;47945909310;50259540356;98205449666;599640000000
1998;51076603549;58672860908;109749464457;863710000000
