ANO;EXPORTAÇÃO;IMPORTAÇÃO;CORRENTE COMEX;PIB
2022; USD 334,14 ; USD 272,61 ; USD 606,75 ; USD 1.920,10 
2021; USD 280,81 ; USD 219,41 ; USD 500,22 ; USD 1.649,62 
2020; USD 209,18 ; USD 158,79 ; USD 367,97 ; USD 1.476,11 
2019; USD 221,13 ; USD 185,93 ; USD 407,05 ; USD 1.873,29 
2018; USD 231,89 ; USD 185,32 ; USD 417,21 ; USD 1.916,93 
2017; USD 214,99 ; USD 158,95 ; USD 373,94 ; USD 2.063,51 
2016; USD 179,53 ; USD 139,32 ; USD 318,85 ; USD 1.795,69 
2015; USD 186,78 ; USD 173,10 ; USD 359,89 ; USD 1.802,21 
2014; USD 220,92 ; USD 230,82 ; USD 451,75 ; USD 2.456,04 
2013; USD 232,54 ; USD 241,50 ; USD 474,05 ; USD 2.472,82 
2012; USD 239,95 ; USD 225,17 ; USD 465,12 ; USD 2.465,23 
2011; USD 253,67 ; USD 227,97 ; USD 481,64 ; USD 2.616,16 
2010; USD 200,43 ; USD 183,34 ; USD 383,77 ; USD 2.208,84 
2009; USD 151,79 ; USD 129,40 ; USD 281,19 ; USD 1.667,00 
2008; USD 195,76 ; USD 174,71 ; USD 370,47 ; USD 1.695,86 
2007; USD 159,82 ; USD 122,04 ; USD 281,86 ; USD 1.397,11 
2006; USD 137,58 ; USD 92,53 ; USD 230,11 ; USD 1.107,63 
2005; USD 118,60 ; USD 74,69 ; USD 193,29 ; USD 891,63 
2004; USD 95,12 ; USD 63,81 ; USD 158,94 ; USD 669,29 
2003; USD 72,78 ; USD 49,31 ; USD 122,08 ; USD 558,23 
2002; USD 60,15 ; USD 48,27 ; USD 108,42 ; USD 509,80 
2001; USD 58,03 ; USD 56,57 ; USD 114,60 ; USD 559,98 
2000; USD 54,99 ; USD 56,98 ; USD 111,97 ; USD 655,45 
1999; USD 47,95 ; USD 50,26 ; USD 98,21 ; USD 599,64 
1998; USD 51,08 ; USD 58,67 ; USD 109,75 ; USD 863,71 
