Data;Fechamento;Abertura;Max;Min;Vol.;Var%
30/06/2023;118.087;118.388;119.447;118.087;13,82;-0.002500359
29/06/2023;118.383;116.683;118.623;116.683;11,06;0.014586779
28/06/2023;116.681;117.524;117.937;116.56;10,65;-0.007164555
27/06/2023;117.523;118.246;119.212;116.561;13,08;-0.006089155
26/06/2023;118.243;118.977;119.148;117.491;10,46;-0.00616926
23/06/2023;118.977;118.959;119.386;118.178;12,85;0.000361545
22/06/2023;118.934;120.42;120.42;118.018;11,83;-0.012340143
21/06/2023;120.42;119.623;120.519;119.332;11,74;0.006671014
20/06/2023;119.622;119.858;119.858;118.416;10,92;-0.001968997
19/06/2023;119.858;118.757;119.939;118.558;6,78;0.009262534
16/06/2023;118.758;119.208;119.555;118.487;15,25;-0.003883544
15/06/2023;119.221;119.068;119.686;118.693;12,30;0.001276571
14/06/2023;119.069;116.753;119.085;116.745;16,94;0.019924107
13/06/2023;116.743;117.337;117.924;116.363;12,39;-0.005053862
12/06/2023;117.336;117.022;117.735;116.704;12,02;0.002708962
09/06/2023;117.019;115.489;117.603;115.489;13,53;0.013256789
07/06/2023;115.488;114.61;115.978;114.61;14,02;0.007660763
06/06/2023;114.61;112.697;114.783;112.696;15,03;0.016983744
05/06/2023;112.696;112.558;113.071;111.736;9,08;0.001226035
02/06/2023;112.558;110.568;113.07;110.567;14,55;0.018025596
01/06/2023;110.565;108.339;110.745;108.335;14,67;0.020584299
31/05/2023;108.335;108.967;109.137;108.193;15,86;-0.005799921
30/05/2023;108.967;110.333;111.291;108.552;11,59;-0.012380702
29/05/2023;110.333;110.906;111.168;110.195;5,91;-0.005166537
26/05/2023;110.906;110.058;111.706;109.9;11,02;0.007741654
25/05/2023;110.054;108.8;111.115;108.8;14,75;0.011525735
24/05/2023;108.8;109.92;109.92;108.546;12,98;-0.010270265
23/05/2023;109.929;110.213;111.325;109.713;12,33;-0.002576829
22/05/2023;110.213;110.745;111.643;110.178;11,77;-0.004803829
19/05/2023;110.745;110.113;111.211;109.787;16,14;0.005785229
18/05/2023;110.108;109.459;110.206;108.864;13,61;0.005919971
17/05/2023;109.46;108.194;109.774;108.188;13,99;0.011701203
16/05/2023;108.194;109.029;110.151;108.085;16,90;-0.007658513
15/05/2023;109.029;108.469;109.271;108.356;11,60;0.005209102
12/05/2023;108.464;108.256;108.817;107.497;11,92;0.001921372
11/05/2023;108.256;107.446;108.667;106.419;12,77;0.007519917
10/05/2023;107.448;107.114;107.744;106.538;13,58;0.003118173
09/05/2023;107.114;106.028;107.731;105.549;13,53;0.010109202
08/05/2023;106.042;105.161;106.716;105.161;13,26;0.008502302
05/05/2023;105.148;102.175;105.306;102.175;16,70;0.029107209
04/05/2023;102.174;101.798;103.321;101.063;14,84;0.003703449
03/05/2023;101.797;101.927;102.331;101.433;11,69;-0.001275423
02/05/2023;101.927;104.431;104.447;101.569;12,02;-0.023986901
28/04/2023;104.432;102.923;104.432;102.449;13,09;0.014661446
27/04/2023;102.923;102.31;103.177;101.975;11,30;0.005971929
26/04/2023;102.312;103.22;103.668;102.233;10,12;-0.008796745
25/04/2023;103.22;103.947;103.947;102.633;10,87;-0.006993949
24/04/2023;103.947;104.367;104.822;103.247;10,94;-0.004024261
20/04/2023;104.367;103.913;104.615;103.087;12,38;0.004369039
19/04/2023;103.913;106.149;106.149;103.604;12,71;-0.021193825
18/04/2023;106.163;106.023;106.475;105.122;11,21;0.001386583
17/04/2023;106.016;106.279;106.83;105.623;10,25;-0.002474619
14/04/2023;106.279;106.458;106.701;104.934;11,50;-0.001681414
13/04/2023;106.458;106.89;107.037;106.22;12,18;-0.004041538
12/04/2023;106.89;106.218;108.277;106.217;17,35;0.006364509
11/04/2023;106.214;101.849;106.455;101.848;18,73;0.042878043
10/04/2023;101.847;100.822;102.196;100.819;8,15;0.010166432
06/04/2023;100.822;100.978;101.628;100.443;9,82;-0.001544891
05/04/2023;100.978;101.869;101.96;99.898;13,26;-0.008746527
04/04/2023;101.869;101.505;103.056;101.505;11,70;0.003576143
03/04/2023;101.506;101.883;101.916;100.651;12,79;-0.003690544
31/03/2023;101.882;103.714;104.041;101.476;15,12;-0.017654489
30/03/2023;103.713;101.796;104.085;101.796;14,90;0.018861808
29/03/2023;101.793;101.185;102.213;100.248;12,46;0.006008796
28/03/2023;101.185;99.672;101.559;99.488;13,50;0.015200161
27/03/2023;99.67;98.833;99.997;98.833;9,99;0.008509648
24/03/2023;98.829;97.926;99.258;97.688;12,41;0.009221249
23/03/2023;97.926;100.221;101.126;96.997;15,66;-0.022899392
22/03/2023;100.221;100.998;101.888;100.129;11,50;-0.007693222
21/03/2023;100.998;100.923;101.67;100.923;9,67;0.000743141
20/03/2023;100.923;101.982;102.328;100.679;10,90;-0.010384185
17/03/2023;101.982;103.434;103.434;101.664;17,56;-0.014047469
16/03/2023;103.435;102.683;103.911;102.455;14,39;0.007401997
15/03/2023;102.675;102.93;103.048;100.692;15,25;-0.002496794
14/03/2023;102.932;103.121;104.153;102.482;13,13;-0.001832798
13/03/2023;103.121;103.608;103.907;102.255;12,99;-0.004796464
10/03/2023;103.618;105.071;105.071;103.201;17,95;-0.013828744
09/03/2023;105.071;106.54;106.724;105.053;19,17;-0.013788249
08/03/2023;106.54;104.228;106.721;104.228;15,90;0.022182139
07/03/2023;104.228;104.7;105.179;103.48;12,58;-0.004508118
06/03/2023;104.7;103.865;105.171;103.17;14,28;0.008029577
03/03/2023;103.866;103.326;104.44;103.323;13,10;0.005226177
02/03/2023;103.326;104.375;104.912;103.321;14,74;-0.010145136
01/03/2023;104.385;104.933;105.497;103.105;19,85;-0.0052129
28/02/2023;104.932;105.706;106.794;104.932;15,67;-0.007369148
27/02/2023;105.711;105.807;106.402;105.227;9,57;-0.000822322
24/02/2023;105.798;107.582;107.611;105.36;10,22;-0.016683241
23/02/2023;107.593;107.152;108.663;106.731;11,46;0.004115649
22/02/2023;107.152;109.174;109.174;106.72;9,36;-0.018547863
17/02/2023;109.177;109.941;109.941;108.968;10,06;-0.006949182
