Id;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence
3;1;3;13;87;1053;28576;2141733;508147108;402135000000;1073380000000000;9700390000000000000
7;1;2;1;5;5;1;11;16;7;1;23
8;1;2;4;5;8;10;16;20;32;40;64
11;1;8;25;83;274;2275;132224;1060067;3312425;10997342;36304451
13;1;111;12211;1343211;147753211;16252853211;1787810000000;196660000000000;21632500000000000;2379580000000000000;261754000000000000000
15;1;1;1;1;1;1;1;1;1;5;1
16;840;1320;1680;2520;3192;3432;4920;5208;5280;5712;6552
18;1;2;7;27;113;483;2138;9681;44374;205500;961614
20;4;6;8;9;26;1752;0;0;0;0;0
21;1;2;1;3;4;2;4;8;8;3;5
23;1;176;570496;9223556096;460994000000000;55266100000000000000;13556400000000000000000000;6098120000000000000000000000000;4642750000000000000000000000000000000;0;0
24;18;24;30;36;42;54;60;66;84;108;126
26;0;0;4;7;8;4;6;8;8;9;9
28;648391;718064159;7069067389;22742734291;36294260117;64988430769;136395000000;200148000000;243505000000;318084000000;435749000000
34;1;1;3;1;3;7;1;3;11;19;1
35;0;1;4;7;15;18;31;40;50;61;88
36;1;2;3;4;5;7;9;12;21;114;200
40;1;3;635;2049219;7372240000000;0;0;0;0;0;0
41;0;1;2;3;4;5;6;7;8;9;10
44;0;1;4;2;4;4;11;3;11;4;11
46;1;2;0;-5;-5;8;21;0;-55;-55;89
49;1;0;0;56;15;56;-1568;-840;-3248;86968;68992
51;1;3;5;7;9;11;13;5;17;19;21
52;1;2;6;3;12;15;4;20;36;28;5
53;1;1;5;15;65;231;1049;4011;18485;74073;344159
57;1;9;2;9;1;78;1;19;3;8;2
59;1;1;1;2;3;5;9;16;28;51;93
61;1;8;17;100;475;2843;16691;105026;668777;4379697;29069769
63;1;1;9;1;25;11;1;49;31;43;1
64;25;52;125;152;215;512;1125;1152;1215;1251;1512
65;14;29;826;1681;47894;97469;2777026;5651521;161019614;327690749;9336360586
66;1;1;1;1;3;2;3;12;1;11;39
67;1;0;1;1;1;2;3;3;4;7;7
69;2;11;61;341;1921;10901;62281;358061;2070241;12030821;70231801
72;7;14;63;172;666;1099;2457;3430;6084;12195;14896
73;13;10;8;77;51;38;68;36;20;330;266
75;1;-2;20;-632;39440;-4087712;634237760;-137605000000;39776200000000;-14775100000000000;6857800000000000000
76;1;2;2;4;10;24;54;116;242;496;1006
77;0;0;0;0;0;0;1;1;1;1;1
82;1;2;3;4;1;2;1;4;3;10;1
86;1;5;14;35;76;164;336;687;1387;2792;5596
89;2;10;98;970;9602;95050;940898;9313930;92198402;912670090;9034502498
91;5;13;37;109;313;905;2617;7561;21853;63157;182525
92;3;36;300;2520;22680;221760;2358720;27216000;339292800;4550515200;65383718400
94;30;35;51;75;147;195;315;387;555;867;987
95;3;17;47;101;163;179;439;757;773;953;1621
100;1;24;397;5628;73513;914112;11008549;129690276;1504024705;17241418920;195931000000
102;12;107100;5055850800;0;0;0;0;0;0;0;0
104;5;9;5;9;5;9;5;9;5;9;5
107;1;3;4;6;7;9;10;11;13;16;15
108;15;169;1975;23045;268983;3139529;36644243;427707523;4992154799;58267877227;680096000000
109;1;8;2;12;4;10;6;16;3;18;7
110;1;1;1;1;3;13;35;157;741;4435;44453
111;1;3;9;36;181;1086;7607;60862;547759;5477598;60253580
112;2;5;7;11;13;19;31;37;41;47;59
113;1;3;12;24;42;46;42;24;12;3;1
118;1;2;4;3;7;11;5;16;22;29;8
119;2;3;6;7;8;10;11;12;13;14;15
123;1;0;0;0;81344;2097152;32251904;327155712;2423150528;14172553216;68846387200
126;1;2;6;20;70;252;924;1144;12870;48620;184756
130;1;2;1;4;1;6;1;8;1;2;1
132;1;1728;1953125;1995616979;1999900000000;2000000000000000;2000000000000000000;2000000000000000000000;2000000000000000000000000;2000000000000000000000000000;2000000000000000000000000000000
133;1;7;13;35;53;115;145;307;10163;0;0
134;2;15;178;2614;40148;622645;9676364;150442627;2339207390;36372631268;565565000000
135;1;2;10;2;16;12;220;60;112;222;112
136;0;15;54;117;204;315;450;609;792;999;1230
137;13;2;3;5;19;59;47;11;43;139;277
139;1;6;217;1308;47305;285138;10312273;62158776;2248028209;13550328030;490060000000
141;31;73;139;149;163;167;173;193;197;331;347
147;41;89;137;233;281;521;569;617;761;809;857
149;0;35;1951;69023;46969504;10056342898;0;0;0;0;0
150;1;1;3;1;5;8;1;7;20;22;1
152;1;0;1;0;2;1;0;6;4;1;0
