Id;Sequence;Sequence;Sequence;Sequence;Sequence
3;1;3;13;87;1053
7;1;2;1;5;5
8;1;2;4;5;8
11;1;8;25;83;274
13;1;111;12211;1343211;147753211
15;1;1;1;1;1
16;840;1320;1680;2520;3192
18;1;2;7;27;113
20;4;6;8;9;26
21;1;2;1;3;4
23;1;176;570496;9223556096;4,60994E+14
24;18;24;30;36;42
26;0;0;4;7;8
28;648391;718064159;7069067389;22742734291;36294260117
34;1;1;3;1;3
35;0;1;4;7;15
36;1;2;3;4;5
40;1;3;635;2049219;7,37224E+12
41;0;1;2;3;4
44;0;1;4;2;4
46;1;2;0;-5;-5
49;1;0;0;56;15
51;1;3;5;7;9
52;1;2;6;3;12
53;1;1;5;15;65
57;1;9;2;9;1
59;1;1;1;2;3
61;1;8;17;100;475
63;1;1;9;1;25
64;25;52;125;152;215
65;14;29;826;1681;47894
66;1;1;1;1;3
67;1;0;1;1;1
69;2;11;61;341;1921
72;7;14;63;172;666
73;13;10;8;77;51
75;1;-2;20;-632;39440
76;1;2;2;4;10
77;0;0;0;0;0
82;1;2;3;4;1
86;1;5;14;35;76
89;2;10;98;970;9602
91;5;13;37;109;313
92;3;36;300;2520;22680
94;30;35;51;75;147
95;3;17;47;101;163
100;1;24;397;5628;73513
102;12;107100;5055850800;0;0
104;5;9;5;9;5
107;1;3;4;6;7
108;15;169;1975;23045;268983
109;1;8;2;12;4
110;1;1;1;1;3
111;1;3;9;36;181
112;2;5;7;11;13
113;1;3;12;24;42
118;1;2;4;3;7
119;2;3;6;7;8
123;1;0;0;0;81344
126;1;2;6;20;70
130;1;2;1;4;1
132;1;1728;1953125;1995616979;1,9999E+12
133;1;7;13;35;53
134;2;15;178;2614;40148
135;1;2;10;2;16
136;0;15;54;117;204
137;13;2;3;5;19
139;1;6;217;1308;47305
141;31;73;139;149;163
147;41;89;137;233;281
149;0;35;1951;69023;46969504
150;1;1;3;1;5
152;1;0;1;0;2
155;2;6;120;5040;39916800
158;284;1494;4418;9982;16350
159;1;3;5;7;15
160;1;1;1;2;2
162;1;2;8;32;162
163;0;1;0;-1;-1
164;2;5;10;11;15
165;1;0;0;0;800
166;1;2;2;3;4
167;42;174;471;1043;2044
168;1;1;1;1;4
171;4;5;5;7;5
174;1;-5;129;-8133;941601
176;0;0;1;7;6
177;1;0;0;1;0
178;11;19;29;40;54
179;2;8;58;802;0
181;0;12;60;144;264
185;196;105413504;5,66939E+13;3,04913E+19;1,6399E+25
186;2;6;7;8;10
188;0;1;2;3;4
190;1;1;2;7;1304
192;2;6;12;20;38
198;3;5;7;17;11
202;1;1;1;1;1
203;-1;1;1;-1;1
204;2;1;2;1;2
205;3255;3257;3258;3259;3260
208;0;2;7;12;16
210;0;1;2;6;2
211;1;513;10097891;5170139875;1,00979E+16
212;1;120;8960;537600;28471296
213;113719;131797;139177;139397;193937
215;1;2;3;3;11
217;4;46;468;4689;468910
220;1;1;2;6;28
221;0;1;2;3;4
222;1;3;3;3;4
223;5;-956;-375;163823028;15625
224;1;1;1;2;1
225;2;2;9;1;9
226;1;1;1;1;4
227;1;2;4;10;26
229;1;1;2;5;16
237;4;6;7;10;11
238;1;3;5;11;19
241;1;4;109;27908;87212609
242;0;2;4;10;12
244;1;2;3;4;5
245;1;2;8;-64;-5632
246;0;2;4;6;8
249;1;1;3;7;22
251;1;3;3;4;3
254;1;1;1;3;7
255;1;-1;4;1;-24
256;1;1;4;6;13
258;0;0;0;0;10
259;24;9605;20592;90567;989420
262;1;1;4;19;73
263;2;7;8;13;37
264;0;1;2;3;4
266;1;1;2;3;4
268;0;1;2;2;2
271;0;1;2;3;4
272;2;7;63;1234;55447
275;1;1;2;1;1
276;2;4;4;6;16
277;31;41;59;61;71
278;1;6;9;46;117
280;0;1;4;7;19
282;1;2;8;11;16
284;1;-2;-2;-1;4
286;1;2;3;4;6
288;0;2;12;30;56
289;1;0;1;5;16
290;93696;1809324;41876592;965476188;22293930744
293;1;1001;1002001;1003003001;1,00401E+12
294;1;7;11;49;154
295;1;2;5;3;3
296;1;1;1;2;1
297;3;5;5;3;7
298;1;3;12;84;924
299;1;1;0;1;4
300;7;3;1;1;3
302;2;0;2;9;8
303;1;2;6;19;66
304;1;1;1;2;1
305;7;7151;109873;956953279;3,49714E+33
306;0;0;1;2;2
308;9117926;0;0;0;0
310;1;2;23;31;32
311;1;-3;1;2;2
313;1;-29;1201;-2610;957359
315;1;1;5;13;59
317;4;10;4;10;4
318;-4;0;20;120;620
319;4;13;7;20;45
320;1;5;34;504;12656
323;3;15;49;143;406
326;1;68;71586;376922368;6,23955E+12
327;3;8;4;5;7
328;0;36;432;1296;15552
329;10;1010;1210;101010;101210
332;2;125;1452;37584;631750
334;1;1;-2;7;-27
335;1;3;15;315;2835
336;1;1;1;2;2
339;22;89;111;1199;3708
340;1;1;3;2;8
347;3971;4003;4007;4019;4027
350;1;0;6;2;6
352;11;29;55;89;131
354;0;1;0;1;1
359;1;1;1;1;2
361;1;1;3;19;41
366;0;3;3;6;6
372;1;3;11;45;193
373;1;2;3;5;7
374;1;14;42;-14;-70
377;1;1;4;44;1546
378;4;2;6;4;2
379;173;68099;76487;96377;336593
386;1;1;1;2;3
387;2;11;19;23;71
392;1;1;331;8401;80581
394;1;1;2;1;3
395;1;1;2;2;3
400;279936;410338673;13492928512;1,37231E+11;7,8125E+11
403;0;1;2;3;4
406;41;20;13;10;7
408;13;241;3969;63309;1012165
410;1;1;3;4;23
415;0;0;1;5;0
420;1;109;11989;1318681;145042921
421;1;2;2;2;1
425;1;4;16;73;388
426;1;2;3;6;10
428;0;0;0;0;3
429;239;337274;487335857;7,11859E+11;1,04309E+15
430;68;70;71;72;73
431;1;0;0;0;0
434;1;11;53;67;109
436;1;4;11;34;101
437;1;1;1;2;2
438;1;8;2;12;4
439;5;8;7;1;0
441;81;181;281;381;481
443;1;1;1;1;-1
444;1;1;1;2;1
447;1;4;2;9;7
448;0;1;3;10;30
451;1;1;1;2;1
455;1;2;8;8;7
458;1;6;2;8;1
461;0;960;10800;60480;235200
463;5;18;456;1056;29184
464;1;1;2;4;13
466;1;1;6;6;2
467;5;31;89;109;271
469;1;1;3;5;9
470;-2;-1;1;-2;1
475;1;1;1;3;6
477;0;1;2;3;4
479;26;27;269;296;1157
483;1;3;15;57;249
486;1;2;257;512;514
490;1;0;-1;1;0
492;2;3;5;7;10
494;1;0;0;0;4
499;3;2;2;6;2
502;13;47;73;157;167
503;1;4;9;4;25
505;1;17;305;5473;98209
506;1;1;1;3;1
510;8;32;104;330;1076
511;1;0;2;0;3
515;1;2;3;4;5
516;1;1;-211;4241;-57453709
517;8;20;12;56;20
518;1,11111E+79;1010000;2222;1100;310
519;1;1;4;13;52
520;1;0;4;0;14
521;1;1;2;1;7
525;19;58;77;366;443
526;1;1;1;1;2
533;2;1;4;3;7
534;1;2;3;4;5
535;1;3;5;6;8
540;4470;80313;838203;6691695;45640599
541;1;5;19;75;295
546;3617;16320;534790080;2,34174E+11;1,7524E+13
549;1;2;4;8;15
554;1;7;100;786;4420
555;1;1;2;2;3
556;1;1;4;29;339
557;2;5;17;23;37
558;1;33;1056;33792;1081344
559;1;1;1;1;1
566;1;1;16;729;65536
568;0;1;2;5;19
569;0;1;1;2;9
571;0;16;144;576;1600
572;1;5;6;1;5
578;2;5;7;13;19
579;1;2;3;4;5
581;512;768;1152;1280;1408
582;1;1;0;-1;-1
584;0;1;1;4;9
585;1;1;2;4;10
588;1;2;9;63;594
589;1;17;207;2245;23231
590;4;28;108;268;544
592;721;173;401;1411;2617
595;1;1;1;1;0
597;1000;1100;1200;1210;1300
598;65;621770;281089082;2022652202;2042832002
601;1;14;114;675;2610
602;1;21;211;1689;84457
604;1;2;1;1;1
606;1;1;1;3;7
608;1;4;7;6;8
609;2;1;2;7;8
610;2;1;3;1;3
611;1;4;3;7;3
612;41;105;169;233;297
614;1;1;1;1;1
615;1;2;3;4;5
618;1;1;5;6;65
619;1;1;2;2;3
620;1;6;16;35;86
621;41;83;197;199;223
622;0;0;0;0;0
623;2;3;5;7;11
624;7;13;103;487;547
627;1;3;8;28;124
628;0;1;11;50;160
630;1;1;1;2;1
631;1;-1;0;1;-1
632;1;14;25;155;274
634;1;1;6;60;900
637;1;5;6;7;9
638;1;1;5;17;57
641;151;373;95959;9515959;159595151
643;1;1;1;8;50
644;343;8967;88679;620839;3667623
645;18;19;16;17;22
646;1;2;3;6;24
651;1;4;6;8;9
653;40;90;160;230;280
655;1;1;1;0;1
657;52;62;82;129;200
658;0;5;20;90;300
659;2;2;3;2;3
660;0;1;2;3;4
661;1;16;74;350;1668
662;62;34;20;22;14
664;0;1;3;6;10
667;5;7;13;17;19
669;1;1;1;2;2
671;2;3;13;5;7
674;1;2;3;4;7
678;1;1;3;14;83
682;1;2;3;4;5
683;14;50;72;194;306
686;0;1;2;11;101
689;0;0;0;0;0
692;0;1;4;8;15
693;4;6;7;11;12
694;1;3;11;67;629
696;2;10;-2;100;-30
697;1;1;1;1;1
698;5;5;3;5;7
700;101;103;107;109;307
704;1;2;7;15;32
705;2;12;271;24950;9800058
706;8;16;58;161;772
707;1;2;1;3;-2
713;1;1;2;15;224
714;1;3;4;1;7
718;28;57;85;2352;2437
721;1;2;4;8;16
722;13;160;376;391;421
729;17;23;13;13;41
730;1025024;101376;2843456;510528;2874672
731;2;3;5;6;18
732;1;2;3;6;18
733;0;3;2;7;11
734;1;9;5;9;9
735;1;2;3;0;0
737;1;9;10;11;12
738;1;1;56;375375;5,77186E+11
744;13;21;33;52;81
746;9;4;2;4;7
747;0;1;1;2;3
750;10;80;440;1820;6545
756;2;4;14;47;184
759;1;1;2;2;6
764;0;1;3;10;31
766;1;3;5;7;9
770;0;4;96;4320;322560
771;-1;3;2;3;7
775;1;2;15;79;420
776;1;1;1;1;10
777;1;168;192528;16815456;397786704
780;1;2;2;3;5
784;15014557;27001043;29602093;50234633;87028433
785;1;2;11;80;780
786;1;325521;1,32455E+11;5,13295E+16;2,00827E+22
789;12;12;12;12;13
790;1;2;2;3;4
792;1;1;210;3428059;87935111811
793;1;7;70;910;14560
794;1;5;25;17;4
796;2,7931E+31;5,48888E+49;0;0;0
797;1;2;3;5;7
801;25;626;31325;783751;39218875
803;1;1;1;1;1
804;1559;2999;3118;5998;6551
805;1;31;625;10395;155001
807;1;4;13;59;205
809;2;7;1129;1327;19609
810;3;7;15;28;50
813;5;15;35;120;201
816;61;71;163;173;601
817;0;0;1;0;1
820;0;1;4;13;22
823;0;0;1;14;81
824;1;1;1;1;2
826;1;0;2;6;1
827;1;7;22;63;127
828;0;0;1;2;0
829;1;1;5;47;657
830;1;5;23;187;3126
831;5;6;5;2;3
832;2;5;13;17;29
833;1;2;0;0;0
834;0;1;31;721;14911
842;1;4;24;81;90
843;0;0;0;0;0
847;1;2;2;3;5
848;1;99;1468;52291;1730105
850;48;97;146;195;244
853;1;24;322560;2,14249E+16;8,82921E+42
854;2;1;1;1;1
857;1;12;1221;12212112;1,22121E+15
858;1;4;9;16;20
859;31;39;112;120;193
862;13;13;71;733;1193
863;1;2;6;25;127
865;1;0;0;4;25
870;1973;3181;3967;4889;8363
873;1;2;5;19;167
874;1;1;126;7572;1725819
875;1;1;1;1;1
876;1;2;3;5;12
881;0;1;28;1216;37324
883;3;11;15;19;21
884;0;1;7;4;5
886;1;1;1;2;2
888;0;10;17;18;28
889;23;53;263;1283;2333
891;6;3;7;6;6
893;0;2;3;5;6
894;6255285;2025234324;7,19029E+11;1,99027E+14;6,12211E+16
895;43;47;59;79;107
899;2;2;1;2;3
905;0;0;0;1;20
909;0;0;1;-2;0
910;1;1;2;2;2
911;1;1;3;3;7
912;0;1;98;9602;940800
917;4;53122;412441;2360934421;2982905123
920;7;13;19;21;28
923;0;1;4;12;31
924;1;4;27;70;133
926;2;3;8;5;6
930;116;213013;1757594146;1,52492E+13;1,00953E+17
931;1;0;1;0;1
932;21;55;39;51;203
933;1;1;1;4;19
934;23;30;76;83;129
935;22;4444;224444;442244;444422
937;2;1;2;14;1
938;1;32;992;30752;953312
939;1;2;0;0;2
945;1;0;1;1;2
948;1;1;1;1;1
949;728;10530;10530;111648;317138
951;1;-1;1;-1;1
954;1;1;3;9;32
956;1;2;16;4;4
958;2;4;5;6;9
959;1;0;2;0;4
962;1;2;6;23;89
963;4;24;44;64;84
965;1;1;17;15649;0
966;0;1;3;2;5
968;1;3;4;6;8
970;4;3;7;14;19
971;1;4;9;12;33
972;1;1;2;5;12
973;3;12;25;42;63
975;0;1;2;3;4
976;1;2;6;16;43
977;1;1;1;2;3
978;1;2;7;6;26
979;1;4;13;38;104
980;2;3;4;5;5
981;2;3;5;6;7
982;9;1;0;9;7
983;1171240;1197630;2023140;3592890;4132590
984;1;2;6;24;120
987;1;2;3;4;6
989;1;-2;0;4;-4
990;0;1;2;6;18
992;1;3;2;5;4
995;1;1;4;56;631
996;1;2;8;1849;22912
997;1;1;0;1;1
999;1;1;7;85;847
1003;1;2;3;10;9
1007;13;20;31;48;74
1008;1;1;1;2;4
1012;24754;87119;4969133;305194632;25951449861
1015;4;2;6;27;1
1016;31;43;67;103;151
1022;15;20;51;56;87
1023;2;3;5;8;10
1025;1;1;1;1;2
1028;1;2;3;4;12
1032;8;0;5;6;8
1036;2;13;41;269;2153
1037;0;0;0;0;2
1038;1;39;779;10621;111149
1042;0;0;1;2;8
1043;0;2;12;86;780
1050;11;113;11777;1133333;1199999
1052;1;3;13;76;427
1053;2;5;14;57;284
1054;1;2;3;4;4
1055;12;215;1901;11071;48701
1056;205;301;455;1015;1025
1058;1;4;9;12;18
1061;0;12;116;487;1438
1062;1;2;3;4;6
1064;0;0;1;3;6
1065;1;1;-1;-1;1
1066;1;1;2;2;3
1068;0;1;2;4;5
1069;1;616;9573;230726;4507281
1070;1;2;3;4;5
1071;1;4;6;24;30
1072;3;131;167;227;311
1073;1;28;756;20412;551124
1074;5;53;59;67;137
1075;1;2;4;6;8
1076;2,48877E+14;1,01396E+15;1,09316E+15;1,01976E+17;1,67E+16
1077;1;3;11;43;187
1078;1;1;1;2;3
1079;1;8;27;27;8
1080;2;1;3;20;756
1082;3;7;22;7;18
1083;0;1;1;256;6561
1086;1;1;1;1;2
1091;0;1;0;1;1
1098;1111;2222;3333;4444;5555
1100;5;9;0;8;1
1101;1;1;2;5;16
1102;1;1;1;1;2
1103;1;4;22;124;706
1105;1;11;13;19;22
1107;37;3268;158648;6449353;280040904
1109;1;4;10;19;32
1110;2047;4017157;7308428597;1,25881E+13;2,10673E+16
1113;0;1;2;7;6
1114;4;3;4;5;3
1115;1;1;4;6;4
1116;1;3;5;11;13
1117;1;2;8;11;6
1120;0;0;6;144;600
1124;0;1;3;6;10
1125;1;-2;2;-6;14
1126;1;4;13;26;49
1127;0;1;4;9;16
1128;15;19;21;23;25
1129;557544;729677481;9,4925E+11;9,31767E+14;7,26873E+17
1131;1;0;1;3;0
1136;1;2;3;2;0
1138;2;0;25;50;65
1139;7681;15361;23041;61441;84481
1141;341;369;461;494;506
1144;2;1;0;0;1
1146;1;1;-1;-3;9
1147;1;2;5;17;61
1149;1;-1;-77;239;30877
1150;1;1;1;1;15
1151;1;2;3;4;5
1152;0;2;12;80;720
1154;1;6;42;288;1980
1155;0;406;120;528;105
1157;0;413;2874480;20006380387;1,39244E+14
1159;0;1;-1;5;-18
1160;0;0;0;1;0
1162;1;1;3;7;21
1163;2;2;20;8;152
1164;62;126;190;254;318
1166;1;1;2;4;11
1168;1;0;0;1;0
1169;1;4;80;4480;462080
1171;0;0;3;5;7
1172;1;1;9;33;81
1173;1;1;2;4;22
1176;2;6;100;9261000;103306896
1179;1;1;3;7;24
1181;1;2;5;6;7
1182;4;12;20;28;36
1183;3;8;10;16;18
1185;1;0;1;1;3
1186;1;0;1;1;0
1187;1;36;1260;44100;1543500
1189;1;0;1;2;4
1192;1;0;1;1;0
1195;1;1;1;3;9
1197;1;2;9;14;189
1199;1;1;5;27;157
1203;5;15;30;51;83
1207;17;27;33;52;73
1208;8;1;5;4;6
1210;1;5;7;9;17
1211;1;5;30;25;25
1212;1;2;3;4;5
1214;-19;-18;-17;-16;-15
1215;45585;62213;86575;127689;247879
1217;2;7;11;31;47
1218;1;2;3;6;11
1219;1;2;7;3;4
1220;1;1;1;2;1
1222;1;1;1;1;1
1223;2;-12;22;6888;-422998
1224;29;92;129;192;209
1226;3;12;24;31;33
1229;1;58;877;8030;56285
1231;0;7;6;6;3
1232;0;1;0;2;0
1234;3;5;8;1115;141185
1235;2;5;7;13;19
1236;1;2;6;36;270
1238;1;3;2;9;7
1241;5;55;1430;4862;1463
1244;3;4;3;4;3
1250;1;-5;-8;7;31
1251;1;2;2;3;5
1252;244140625;2,81475E+14;1,50095E+17;9,06574E+18;1,91581E+20
1253;0;2;4;7;9
1257;3;19;31;101;139
1258;389;401;479;359;701
1259;9;3;2;5;1
1260;1;39;1482;56316;2140008
1262;1;0;1;1;9
1263;2;3;5;8;9
1265;11;19;29;31;37
1270;101;107;149;173;179
1272;16;49;212;685;22132
1274;4;15;93;668;5172
1275;7;17;317;6317;26317
1276;11;67;179;347;571
1278;1;3;8;19;43
1279;5;1667;7517;34853363;1,16755E+11
1280;0;0;0;0;0
1282;0;1;-1;0;-6
1283;2;5;17;83;991
1288;69;4761;193260;7766709;317286068
1289;1;4;11;23;44
1290;1;12;110;945;8092
1291;2;1;0;1;0
1292;17;20;70;71;73
1294;1;-1;2;2;0
1295;23;19;173;14093;145
1300;30;8;1;1;2
1301;1;2;11;106;1899
1302;1;3;12;48;192
1303;1;1;-1;1;1
1307;1;9;33;117;429
1309;0;1;3;4;2
1310;7;1;9;4;2
1315;123;135;201;363;987
1316;5;20;32;41;124
1317;2;6;19;59;181
1319;0;0;0;-1;-1
1321;10;20;30;36;48
1322;96;15052;2440104;399447742;65501464340
1323;2;3;8;11;14
1325;1;6;4;14;12
1327;3;25;200;1602;12819
1328;1;5;47;319;1879
1329;1;34;1122;37026;1221858
1331;1;2;2;5;14
1332;1;2;1;7;0
1333;5;13;17;113;97
1334;1;1;2;3;6
1335;1;1;1;2;3
1337;0;1;0;2;1
1339;1;2;3;4;8
1340;1;3;2;6;6
1343;1;7;28;114;457
1349;1;1;1;1;10
1352;1;2;5;3;25
1354;1;2;4;8;16
1355;1;20;1680;369600;168168000
1359;1;1;1;2;6
1360;202;128052;243381128;1,55585E+11;4,26119E+13
1361;2;7;6977;25247;35803
1362;1;50;2450;120050;5882450
1364;16;47;150;494;1652
1365;1;37;83;139;205
1366;0;1;1;0;1
1367;0;1;3;2;7
1368;1;4;14;46;144
1369;1;2;5;3;2
1370;1;2;2;4;4
1372;1;2;6;65;673
1373;992;13168;180236;2735260;41834260
1374;7;35;244;1693;12324
1375;1;64;65;4096;4097
1377;1;2;4;8;14
1380;2;22;202;212;222
1381;4;39;51;52;71
1383;1;2;3;6;7
1385;1;15;1;330;30
1388;1;1;5;51;807
1390;1;-1;0;7;-24
1394;1;2;4;29;58
1395;1;32;1393;336465;207388305
1397;2;3;4;5;3
1398;1;1;2;5;13
1401;2;6;18;40;108
1402;2;7;17;29;59
1405;1;2;6;8;18
1410;3;45;6579;10763361;1,69458E+11
1411;1;1;1;1;1
1414;73;191;1489;1607;2551
1419;1;2;4;8;18
1420;1;5;2;15;8
1423;1;2;3;7;14
1424;0;0;1;0;6
1428;1;1;7;22;385
1429;1;1;1;2;5
1430;1;5;25;125;630
1432;3;9;1;27;6
1434;2;7;15;27;45
1436;1;3;9;11;33
1439;1;10;91;136;946
1441;1;113;321;11313;32113
1443;2;4;10;15;24
1445;2;5;12;34;135
1446;1;3;5;11;25
1450;90;368;1496;6056;24440
1452;1;2;6;2;5
1453;0;0;0;0;0
1455;1;1;3;8;25
1458;1;36;1260;44100;1543500
1462;1;-1;0;-1;0
1464;1;6;24;96;384
1465;1;0;2;0;11
1466;3;5;13;19;23
1468;0;1;4;9;16
1470;1;2;31;692;32821
1471;2;35;431;5183;62207
1472;1;1;-10;21;-16
1473;10;90;730;5930;47690
1474;1;2;3;4;6
1475;0;101101;1011010;1011101;10101101
1480;1;9;33;42;47
1481;1;2;1;2;5
1482;0;0;1;6;5
1483;3;5;5;5;12
1484;42;74;82;84;85
1485;482381877;1,60493E+11;3,64539E+13;4,95751E+15;4,38625E+17
1488;1;6;27;114;350
1492;3;35;3517;3517257;3,51726E+11
1493;5;19;17;31;29
1494;7;8;7;8;7
1495;1;11;91;1001;11011
1496;2;2;4;4;16
1500;0;0;4;9;0
1501;3;5;37;41;43
1504;4;11;14;16;19
1505;1;-2;-1;4;-3
1506;1;1;1;2;4
1507;1;0;5;1;21
1508;0;0;0;0;4
1512;0;-1;1;-1;0
1514;3686;4010;4631;4694;5730
1516;1;2;-2;0;6
1517;1;1;0;-9;48
1518;3;13;83;673;6203
1519;1;2;3;5;6
1520;1;2;3;0;9
1521;1;0;632;3328;18440
1522;1;3;5;5;7
1525;0;0;1;20;125
1530;15;51;1155;1515;1551
1533;1;4;12;23;41
